file,dataset_group,status,error,shape,dimensions,dtype,elements,unique_values,non_finite_values,minimum,maximum
Rehab_assessment/d02_processed_data/156/006_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-168.37167886043355,159.29461632859932
Rehab_assessment/d02_processed_data/156/006_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-153.58178656319902,118.23296243308558
Rehab_assessment/d02_processed_data/156/006_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/007_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-182.68813806327893,184.74432726110575
Rehab_assessment/d02_processed_data/156/007_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-79.9135835817653,45.8183818462368
Rehab_assessment/d02_processed_data/156/007_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/008_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-123.58943934576237,196.83527772451257
Rehab_assessment/d02_processed_data/156/008_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-15.192809204218861,13.186323927248115
Rehab_assessment/d02_processed_data/156/008_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/009_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1799,0,-140.18797501697819,71.25042867005229
Rehab_assessment/d02_processed_data/156/009_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1947,0,-99.67970341962291,48.07543496324702
Rehab_assessment/d02_processed_data/156/009_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/156/010_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1799,0,-152.43305848513887,276.5612431712407
Rehab_assessment/d02_processed_data/156/010_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-93.71170214125912,98.504510067115
Rehab_assessment/d02_processed_data/156/010_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
